zcta,variable,sex,age,total_pop,pop_in_cook
60029,P012039,Female,45 to 49 years,17,17
60029,P012040,Female,50 to 54 years,19,19
60029,P012041,Female,55 to 59 years,12,12
60029,P012042,Female,60 and 61 years,4,4
60029,P012043,Female,62 to 64 years,8,8
60029,P012044,Female,65 and 66 years,3,3
60029,P012045,Female,67 to 69 years,6,6
60029,P012046,Female,70 to 74 years,13,13
60029,P012047,Female,75 to 79 years,7,7
60029,P012048,Female,80 to 84 years,2,2
60029,P012049,Female,85 years and over,4,4
60043,P012003,Male,Under 5 years,74,74
60043,P012004,Male,5 to 9 years,140,140
60043,P012005,Male,10 to 14 years,137,137
60043,P012006,Male,15 to 17 years,88,88
60043,P012007,Male,18 and 19 years,27,27
60043,P012008,Male,20 years,5,5
60043,P012009,Male,21 years,4,4
60043,P012010,Male,22 to 24 years,25,25
60043,P012011,Male,25 to 29 years,18,18
60043,P012012,Male,30 to 34 years,11,11
60043,P012013,Male,35 to 39 years,43,43
60043,P012014,Male,40 to 44 years,87,87
60043,P012015,Male,45 to 49 years,131,131
60043,P012016,Male,50 to 54 years,104,104
60043,P012017,Male,55 to 59 years,86,86
60043,P012018,Male,60 and 61 years,30,30
60043,P012019,Male,62 to 64 years,54,54
60043,P012020,Male,65 and 66 years,19,19
60043,P012021,Male,67 to 69 years,32,32
60043,P012022,Male,70 to 74 years,38,38
60043,P012023,Male,75 to 79 years,34,34
60043,P012024,Male,80 to 84 years,29,29
60043,P012025,Male,85 years and over,10,10
60043,P012027,Female,Under 5 years,65,65
60043,P012028,Female,5 to 9 years,119,119
60043,P012029,Female,10 to 14 years,148,148
60043,P012030,Female,15 to 17 years,92,92
60043,P012031,Female,18 and 19 years,30,30
60043,P012032,Female,20 years,6,6
60043,P012033,Female,21 years,5,5
60043,P012034,Female,22 to 24 years,24,24
60043,P012035,Female,25 to 29 years,22,22
60043,P012036,Female,30 to 34 years,15,15
60043,P012037,Female,35 to 39 years,62,62
60043,P012038,Female,40 to 44 years,108,108
60043,P012039,Female,45 to 49 years,132,132
60043,P012040,Female,50 to 54 years,108,108
60043,P012041,Female,55 to 59 years,98,98
60043,P012042,Female,60 and 61 years,37,37
60043,P012043,Female,62 to 64 years,41,41
60043,P012044,Female,65 and 66 years,29,29
60043,P012045,Female,67 to 69 years,34,34
60043,P012046,Female,70 to 74 years,44,44
60043,P012047,Female,75 to 79 years,28,28
60043,P012048,Female,80 to 84 years,25,25
60043,P012049,Female,85 years and over,15,15
60053,P012003,Male,Under 5 years,636,636
60053,P012004,Male,5 to 9 years,615,615
60053,P012005,Male,10 to 14 years,575,575
60053,P012006,Male,15 to 17 years,425,425
60053,P012007,Male,18 and 19 years,244,244
60053,P012008,Male,20 years,112,112
60053,P012009,Male,21 years,119,119
60053,P012010,Male,22 to 24 years,406,406
60053,P012011,Male,25 to 29 years,643,643
60053,P012012,Male,30 to 34 years,623,623
60053,P012013,Male,35 to 39 years,613,613
60053,P012014,Male,40 to 44 years,679,679
60053,P012015,Male,45 to 49 years,816,816
60053,P012016,Male,50 to 54 years,875,875
60053,P012017,Male,55 to 59 years,856,856
60053,P012018,Male,60 and 61 years,359,359
60053,P012019,Male,62 to 64 years,471,471
60053,P012020,Male,65 and 66 years,248,248
60053,P012021,Male,67 to 69 years,330,330
60053,P012022,Male,70 to 74 years,500,500
60053,P012023,Male,75 to 79 years,391,391
60053,P012024,Male,80 to 84 years,332,332
60053,P012025,Male,85 years and over,239,239
60053,P012027,Female,Under 5 years,535,535
60053,P012028,Female,5 to 9 years,566,566
60053,P012029,Female,10 to 14 years,639,639
60053,P012030,Female,15 to 17 years,425,425
60053,P012031,Female,18 and 19 years,246,246
60053,P012032,Female,20 years,113,113
60053,P012033,Female,21 years,100,100
60053,P012034,Female,22 to 24 years,350,350
60053,P012035,Female,25 to 29 years,631,631
60053,P012036,Female,30 to 34 years,617,617
60053,P012037,Female,35 to 39 years,687,687
