geoid_zcta,variable,sex,age,total_pop,pop_in_cook
60171,P12_041N,Female,55 to 59 years,391,391
60171,P12_042N,Female,60 and 61 years,158,158
60171,P12_043N,Female,62 to 64 years,251,251
60171,P12_044N,Female,65 and 66 years,191,191
60171,P12_045N,Female,67 to 69 years,192,192
60171,P12_046N,Female,70 to 74 years,232,232
60171,P12_047N,Female,75 to 79 years,132,132
60171,P12_048N,Female,80 to 84 years,107,107
60171,P12_049N,Female,85 years and over,106,106
60172,P12_003N,Male,Under 5 years,589,86
60172,P12_004N,Male,5 to 9 years,709,129
60172,P12_005N,Male,10 to 14 years,775,156
60172,P12_006N,Male,15 to 17 years,488,91
60172,P12_007N,Male,18 and 19 years,303,64
60172,P12_008N,Male,20 years,174,20
60172,P12_009N,Male,21 years,117,30
60172,P12_010N,Male,22 to 24 years,444,86
60172,P12_011N,Male,25 to 29 years,699,126
60172,P12_012N,Male,30 to 34 years,732,107
60172,P12_013N,Male,35 to 39 years,865,123
60172,P12_014N,Male,40 to 44 years,850,135
60172,P12_015N,Male,45 to 49 years,838,177
60172,P12_016N,Male,50 to 54 years,838,150
60172,P12_017N,Male,55 to 59 years,870,144
60172,P12_018N,Male,60 and 61 years,400,63
60172,P12_019N,Male,62 to 64 years,476,61
60172,P12_020N,Male,65 and 66 years,317,43
60172,P12_021N,Male,67 to 69 years,408,50
60172,P12_022N,Male,70 to 74 years,512,78
60172,P12_023N,Male,75 to 79 years,268,44
60172,P12_024N,Male,80 to 84 years,143,26
60172,P12_025N,Male,85 years and over,137,26
60172,P12_027N,Female,Under 5 years,619,114
60172,P12_028N,Female,5 to 9 years,683,142
60172,P12_029N,Female,10 to 14 years,754,162
60172,P12_030N,Female,15 to 17 years,533,105
60172,P12_031N,Female,18 and 19 years,246,41
60172,P12_032N,Female,20 years,134,30
60172,P12_033N,Female,21 years,111,21
60172,P12_034N,Female,22 to 24 years,408,65
60172,P12_035N,Female,25 to 29 years,661,108
60172,P12_036N,Female,30 to 34 years,778,120
60172,P12_037N,Female,35 to 39 years,824,147
60172,P12_038N,Female,40 to 44 years,907,152
60172,P12_039N,Female,45 to 49 years,862,161
60172,P12_040N,Female,50 to 54 years,891,142
60172,P12_041N,Female,55 to 59 years,1028,185
60172,P12_042N,Female,60 and 61 years,394,73
60172,P12_043N,Female,62 to 64 years,548,86
60172,P12_044N,Female,65 and 66 years,355,53
60172,P12_045N,Female,67 to 69 years,458,69
60172,P12_046N,Female,70 to 74 years,624,119
60172,P12_047N,Female,75 to 79 years,369,68
60172,P12_048N,Female,80 to 84 years,217,47
60172,P12_049N,Female,85 years and over,204,37
60173,P12_003N,Male,Under 5 years,437,437
60173,P12_004N,Male,5 to 9 years,422,422
60173,P12_005N,Male,10 to 14 years,359,359
60173,P12_006N,Male,15 to 17 years,184,184
60173,P12_007N,Male,18 and 19 years,107,107
60173,P12_008N,Male,20 years,51,51
60173,P12_009N,Male,21 years,50,50
60173,P12_010N,Male,22 to 24 years,281,281
60173,P12_011N,Male,25 to 29 years,780,780
60173,P12_012N,Male,30 to 34 years,791,791
60173,P12_013N,Male,35 to 39 years,747,747
60173,P12_014N,Male,40 to 44 years,567,567
60173,P12_015N,Male,45 to 49 years,464,464
60173,P12_016N,Male,50 to 54 years,358,358
60173,P12_017N,Male,55 to 59 years,330,330
60173,P12_018N,Male,60 and 61 years,124,124
60173,P12_019N,Male,62 to 64 years,197,197
60173,P12_020N,Male,65 and 66 years,95,95
60173,P12_021N,Male,67 to 69 years,123,123
60173,P12_022N,Male,70 to 74 years,198,198
60173,P12_023N,Male,75 to 79 years,105,105
60173,P12_024N,Male,80 to 84 years,47,47
60173,P12_025N,Male,85 years and over,48,48
60173,P12_027N,Female,Under 5 years,401,401
60173,P12_028N,Female,5 to 9 years,406,406
60173,P12_029N,Female,10 to 14 years,364,364
60173,P12_030N,Female,15 to 17 years,197,197
60173,P12_031N,Female,18 and 19 years,118,118
60173,P12_032N,Female,20 years,52,52
60173,P12_033N,Female,21 years,65,65
60173,P12_034N,Female,22 to 24 years,288,288
60173,P12_035N,Female,25 to 29 years,754,754
60173,P12_036N,Female,30 to 34 years,752,752
60173,P12_037N,Female,35 to 39 years,644,644
60173,P12_038N,Female,40 to 44 years,552,552
60173,P12_039N,Female,45 to 49 years,401,401
60173,P12_040N,Female,50 to 54 years,364,364
60173,P12_041N,Female,55 to 59 years,378,378
